date,EUR,JPY,GBP,AUD,CAD,CHF,CNY,HKD,NZD,SEK,KRW,SGD,NOK,MXN,INR,RUB,ZAR,TRY,BRL,TWD,DKK,PLN,THB,IDR,HUF,CZK,ILS,CLP,PHP,AED,COP,SAR,MYR,RON
8/31/2018,0.860215619,111.0846696,0.770411092,1.377073962,1.298536738,0.968789582,6.85851248,7.850921426,1.505857049,9.132900339,1117.040232,1.367441462,8.348189503,19.10534624,70.89548143,68.25343999,14.70479765,6.737819267,4.150101049,30.72480273,6.394284838,3.693919081,32.85981405,14758.63381,280.5185699,22.0954319,3.610735961,679.4735913,53.63713834,3.672497932,3036.693169,3.749999631,4.115786392,3.988899916
9/1/2018,0.863857572,111.1178208,0.77414665,1.390857672,1.303202083,0.968747488,6.843131995,7.853708656,1.513934369,9.167917658,1114.628077,1.372687852,8.382905869,19.07766207,70.88146965,67.45170555,14.68025797,6.545729765,4.054661358,30.71502189,6.426437886,3.716789981,32.81994988,14766.66937,281.6376152,22.2017461,3.600062346,681.2838676,53.66040582,3.672497932,3069.697003,3.749999631,4.117407192,4.001452501
9/2/2018,0.864642234,111.0994109,0.773673213,1.389985383,1.303513537,0.968738431,6.84268887,7.850153579,1.512193468,9.176190244,1116.231191,1.371959405,8.385297687,19.14812929,70.83145163,67.5881662,14.71489222,6.530095207,4.058481717,30.74233388,6.427869314,3.717958187,32.89100479,14732.27364,282.9968707,22.19597826,3.609059462,681.8750726,53.65547138,3.672497932,3051.246187,3.749999631,4.111555225,3.99911888
9/3/2018,0.865274285,111.2196043,0.775772743,1.39074053,1.306219338,0.969524309,6.845984969,7.850767965,1.515331472,9.164026186,1116.215621,1.372489464,8.393965595,19.11167285,71.00997192,67.67001245,14.72915877,6.589409466,4.058313288,30.71387237,6.429634072,3.716791663,32.86867258,14729.79601,281.6014313,22.20084808,3.608420019,681.6495637,53.58282525,3.672497932,3050.817498,3.749999631,4.116345224,4.000217452
9/4/2018,0.864017508,111.1649794,0.779116684,1.387382362,1.309533878,0.969300931,6.836327698,7.851316392,1.515850433,9.108797841,1115.045977,1.371816128,8.355981555,19.20042522,71.18228857,67.92944462,14.86346553,6.638243272,4.156310879,30.76937555,6.420175056,3.702392356,32.78901127,14835.10197,281.4169974,22.15951786,3.613093363,683.2956764,53.66214919,3.672497932,3050.51668,3.749999631,4.129260851,3.992387227
9/5/2018,0.866268146,111.5386475,0.779754328,1.39214873,1.317469374,0.973970208,6.857592535,7.851111653,1.528884804,9.094532702,1122.906181,1.375563171,8.393484586,19.38297625,71.6310984,68.16822771,15.33406547,6.670492527,4.157202549,30.75960941,6.436352523,3.728528283,32.89233096,14937.22869,283.0440057,22.21757264,3.617574039,692.084446,53.76236472,3.672497932,3096.192401,3.749999631,4.138737458,4.000628144
9/6/2018,0.862509547,111.5285679,0.776318849,1.389645439,1.317492803,0.97122479,6.844002578,7.850463246,1.517825162,9.062731082,1119.660068,1.375293242,8.400432002,19.35279737,71.72684316,68.17372819,15.41820668,6.590581974,4.144653908,30.77296164,6.410270683,3.726320697,32.85775206,14929.50259,281.7781153,22.12497576,3.600880987,686.0821047,53.75669763,3.672497932,3101.53976,3.749999631,4.153199024,3.989029311
9/7/2018,0.863578204,110.5628043,0.775554883,1.390514025,1.3154293,0.965389881,6.8485908,7.851246338,1.520985425,9.125523122,1126.414215,1.374856287,8.423895021,19.2354929,71.95622772,69.17604913,15.32768489,6.590144324,4.05932341,30.82100661,6.418923043,3.727606095,32.88064583,14895.67365,280.7708476,22.1355444,3.582248883,686.6597457,54.10669381,3.672497932,3090.800521,3.749999631,4.142730547,3.995151223
9/8/2018,0.86792796,111.0797912,0.776237722,1.406997281,1.315260377,0.96944366,6.855727307,7.854637059,1.532436692,9.066490828,1128.491305,1.37944679,8.446543228,19.31328905,71.98108846,69.9317055,15.23028609,6.408339395,4.061491382,30.84090904,6.455800962,3.742304775,32.88478519,14924.95359,281.3198223,22.22398747,3.586152306,690.5929528,53.9896422,3.672497932,3063.251442,3.749999631,4.150794391,4.014206591
9/9/2018,0.868378713,111.0402455,0.775765855,1.40650504,1.315058226,0.968727975,6.856261235,7.849680807,1.532423151,9.077683229,1128.404083,1.378833817,8.448727015,19.36629061,72.10756877,70.04741789,15.2654313,6.389619443,4.065696899,30.85355629,6.455300669,3.740240395,32.93143679,14820.00298,282.7411975,22.21419216,3.593400117,688.5002679,53.85025647,3.672497932,3061.293924,3.749999631,4.146523177,4.009722837
